Asset Type,Asset,Engaged People,Engaged Accounts,BDR Booked Meeting (MQL),High Value Inquiry,Qualified Inquiry,SAL $,SALQ $,Closed Won $
p_463a8a7b6f,p_af92fde7a5,1,1,0,0,0,0,0,0
p_35d5f6446d,p_bcf42d6971,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_bb2a36c516,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_02531bf18a,1,0,0,0,0,0,0,0
p_fa15783640,p_017203c704,63,36,0,0.7,0.72,0,0,0
p_5ea52c2bb2,p_0ee921cd89,130,69,0,0,0.1,3342.23,5534.71,7153.08
p_fa15783640,p_e006963e79,31,8,0,0,0,0,0,0
p_fedadf1682,p_ad81116063,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_5c4e3b62f2,1,1,0,0,0,0,0.01,0.01
p_54a6a1c242,p_dbc686f96e,154,84,0,0.2,0.05,923.87,1056.59,490.51
p_fa15783640,p_0bbf245256,2,2,0,0,0,44.09,43.66,0.06
p_fa15783640,p_f4a4238b69,1,1,0,0,0,0,0,0
p_fedadf1682,p_88acf10801,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_c0bd049961,9,5,0,0,0,655.22,655.22,0
p_fedadf1682,p_29535725a0,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_30c965db2a,1,0,0,0,0,0,0.01,0.02
p_5ea52c2bb2,p_2d50fb29c0,1,0,0,0,0,0,0,0
p_892bde13bc,p_0c44b508fb,6,6,0,0,0,0,0,0
p_fa15783640,p_1e615cfc6f,1,1,0,0,0,0,0,0
p_463a8a7b6f,p_4e606dc1e9,1,1,0,0,0,0,0,0
p_9ee8c7bb3f,p_57d23cc11c,32,18,0,0,0,14.42,13.96,0.82
p_fedadf1682,p_6d2a68abfd,1,0,0,0,0,0,0,0
p_fa15783640,p_6991e3ec81,1,1,0,0,0,0,0,0.01
p_fa15783640,p_cfc4d12973,2,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_5ab3e93a9e,1,1,0,0,0,0,0,0
p_9ee8c7bb3f,p_d9f4d5633a,2,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_460d4e9888,3,0,0,0,0,0,0,0
p_5ea52c2bb2,p_c47f53c627,4,2,0,0,0,0,0,0
p_463a8a7b6f,p_67a0d1dabe,2,0,0,0,0,0,0,0
p_fa15783640,p_61efd48a05,4,4,0,0,0,0,0,0
p_fedadf1682,p_34eca5659b,1,1,0,0,0,0,0,0
p_5ea52c2bb2,p_dd5911b650,1,0,0,0,0,0,0,0
p_fedadf1682,p_bc6a17cee1,2,1,0,0,0,0,0,0
p_463a8a7b6f,p_6e19cf3661,4,4,0,0,0,0,0.04,0.08
p_463a8a7b6f,p_bd34a30110,2,2,0,0,0,0,0,0
p_96fe923d5b,p_46a8146f5e,13,7,0,0,0,0,5687.93,0.04
p_5ea52c2bb2,p_3afccd9034,34,24,0,0,0.01,373.8,371.7,59.3
p_fa15783640,p_cb6ed4c8d3,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_8ec4ae42b2,322,97,0,0.01,0.27,23163.46,23411.36,577.12
p_35d5f6446d,p_4be75fd130,1,0,0,0,0,0,0,0
p_fedadf1682,p_6935f632f0,1,0,0,0,0,28.35,27.03,0
p_fa15783640,p_c2a83f38fa,1,1,0,0,0,0,0.01,0.02
p_9ee8c7bb3f,p_24f0eb3375,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_0e6d673c93,2,1,0,0,0,0,0,0
p_9ee8c7bb3f,p_7740604a90,64,35,0,0,0.06,7509.4,7507.19,2749.51
p_5ea52c2bb2,p_302211dda9,60,27,0,0,0.05,2499.92,2497.58,243.38
p_9ee8c7bb3f,p_8971416188,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_77d105b9b7,2,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_145152bf91,27,14,0,0,0,207.42,204.66,163.61
p_9ee8c7bb3f,p_55ac443414,1,1,0,0,0,0,0,0
p_5ea52c2bb2,p_92a0c721d7,38,15,0.02,0.02,0.02,0,0,0
p_463a8a7b6f,p_00d5ac4d09,1,0,0,0,0,0,0,0
p_9ee8c7bb3f,p_911d51cdda,55,24,0,0,0.09,2048.11,2047.19,2157.98
p_fa15783640,p_0dd6c3589d,2,1,0,0,0,0,0.01,0.02
p_5ea52c2bb2,p_075902063b,28,14,0,0,0,0,10.07,23043.97
p_eacc5274cf,p_0a99ce71e1,1,0,0,0,0,0,0,0
p_fa15783640,p_4e0c5394f4,1,1,0,0,0,0,0,0
p_fa15783640,p_ef44289af4,2,1,0,0,0,0,0,0.02
p_fedadf1682,p_9bec48557a,1,0,0,0,0,0,0,0
p_fedadf1682,p_a851f5f278,1,0,0,0,0,0,0,0
p_463a8a7b6f,p_b36723993e,1,0,0,0,0,0,0,0
p_fedadf1682,p_dcb6d539f5,1,0,0,0,0,0,0,0
p_5ea52c2bb2,p_85b25e4e1f,2,1,0,0,0,0,0,0
p_5ea52c2bb2,p_90ffaaadc2,2,1,0,0,0,0,0,0
p_463a8a7b6f,p_5611f70fb4,1,1,0,0,0,0,0,0
p_fa15783640,p_49ddfa8e86,83,42,0,0,0.11,27825.03,38443.26,862.29
p_35d5f6446d,p_4a09e4e29d,30,19,0,0,0.02,0,0.03,42.04
p_35d5f6446d,p_cf8b1853e9,1,0,0,0,0,0,0,0
p_befd9deec6,p_a105a82572,457,322,1,0.33,31.5,292031.97,305896.58,53701.83
